basin,year,site,country,latitude,longitude,eqr,urb.full,crop.full,tree.full,temp.change
BE04,2022,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.3,0.129339625,0.751520267,0.063139376,0.054967732
BE04,2023,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.85,NA,NA,NA,0.054967732
BE04,2023,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.3,NA,NA,NA,0.054967732
BE04,2023,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.3,0.129339625,0.751520267,0.063139376,0.054967732
BE04,2023,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.4,0.124549266,0.746802288,0.070097135,0.054967732
BE04,2023,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.15,0.238541667,0.75625,0,0.054967732
BE05,1995,BEVL_VMM_257200,belgium,51.0958507,4.9571204,0.55,NA,NA,NA,0.030869609
BE05,1995,BEVL_VMM_499500,belgium,51.0373126,4.0772099,0.2,0.051106157,0.835748585,0.025896073,0.030869609
BE05,1995,BEVL_VMM_305000,belgium,51.2468029,5.0084957,0.8,NA,NA,NA,0.030869609
BE05,1995,BEVL_VMM_315800,belgium,51.1218073,4.7422421,0.45,0.023920266,0.803986711,0.075083056,0.030869609
BE05,1995,BEVL_VMM_329000,belgium,51.1476372,5.0037487,0.7,0.039841689,0.405013193,0.346701847,0.030869609
BE05,1996,BEVL_VMM_329000,belgium,51.1476372,5.0037487,0.5,0.043271768,0.403430079,0.345382586,0.030869609
BE05,1996,BEVL_VMM_499500,belgium,51.0373126,4.0772099,0.15,0.053164123,0.833690619,0.025896073,0.030869609
BE05,1996,BEVL_VMM_305000,belgium,51.2468029,5.0084957,0.7,NA,NA,NA,0.030869609
BE05,1996,BEVL_VMM_315800,belgium,51.1218073,4.7422421,0.3,0.025913621,0.802657807,0.074418605,0.030869609
BE05,1996,BEVL_VMM_257200,belgium,51.0958507,4.9571204,0.6,NA,NA,NA,0.030869609
BE05,1997,BEVL_VMM_315800,belgium,51.1218073,4.7422421,0.5,0.027906977,0.801328904,0.074418605,0.030869609
BE05,1997,BEVL_VMM_499500,belgium,51.0373126,4.0772099,0.25,0.05573658,0.831161036,0.025896073,0.030869609
BE05,1997,BEVL_VMM_305000,belgium,51.2468029,5.0084957,0.7,NA,NA,NA,0.030869609
BE05,1997,BEVL_VMM_329000,belgium,51.1476372,5.0037487,0.65,0.045382586,0.402902375,0.344327177,0.030869609
BE05,1997,BEVL_VMM_257200,belgium,51.0958507,4.9571204,0.5,NA,NA,NA,0.030869609
BE05,1999,BEVL_VMM_305000,belgium,51.2468029,5.0084957,0.55,NA,NA,NA,0.030869609
BE05,1999,BEVL_VMM_257200,belgium,51.0958507,4.9571204,0.55,NA,NA,NA,0.030869609
BE05,1999,BEVL_VMM_499500,belgium,51.0373126,4.0772099,0.1,0.059295147,0.827645344,0.025896073,0.030869609
BE05,1999,BEVL_VMM_315800,belgium,51.1218073,4.7422421,0.55,0.038538206,0.792026578,0.073754153,0.030869609
